id,age,sfr,metallicity
2973,9.20015,10.24,1
2997,7.35015,407.5,0.2
3000,9.50008,38.43,0.2
3002,9.30006,18.39,0.2
3008,9.00011,22.13,1
3018,9.15998,19.06,1
3040,9.63014,4.9e-05,0.2
3041,8.50007,13.08,1
3044,8.50007,3.452,0.2
3045,9.00011,0.001183,0.2
3068,7.60009,121.9,1
3077,9.21017,1.267,0.2
3081,9.00011,11.87,0.2
3082,9.11003,15.56,2.5
3097,8.9001,0.009448,0.02
3099,8.20013,6.672,0.2
3106,9.25005,7.25,1
3109,8.80014,31.76,0.2
3118,9.06006,9.076,2.5
3120,8.80014,7.007,1
3125,9.10014,5.713,1
3128,9.30006,0.5485,1
3134,9.15998,0.000223,1
3135,9.00011,10.58,0.2
3139,9.11003,8.918,1
3140,7.05008,224,0.2
3150,9.15998,5.913,2.5
3156,8.25004,6.349,1
3161,8.85008,7.872,0.2
3168,8.45005,3.707,0.2
3175,9.60011,9.046,1
3178,9.51013,0.009449,0.2
3182,8.10013,73.69,0.2
3187,9.23005,6.79,1
3198,7.00009,168.6,1
3211,9.38015,1e-06,2.5
3213,9.72012,0.05076,0.2
3218,7.05008,129.8,0.02
3219,9.30006,0.5162,1
3233,9.57008,0.3977,0.2
3237,8.40013,109,1
3238,9.44008,1.903,2.5
3243,8.80014,2.148,0.2
3245,7.70011,85.24,0.2
3254,8.70012,30.95,1
3258,9.00011,8.533,0.02
3263,8.80014,2.505,0.02
3271,9.15026,6.625,0.2
3282,9.06006,7.742,2.5
3288,7.00009,28.87,0.2
3291,9.28001,5.701,1
3293,9.06006,9.916,1
3300,9.11003,6.956,2.5
3301,9.45006,4.817,1
3306,7.00009,44.23,0.2
3318,9.70013,2.212,0.2
3319,9.60011,2.95,0.2
3325,9.63014,0.000126,0.2
3330,8.95014,8.042,1
3333,8.55009,13.15,1
3338,7.20012,140.8,0.2
3341,9.10014,16.47,1
3355,9.44008,0.8484,1
3358,9.94952,0.4149,2.5
3360,8.80014,5.16,0.2
3367,9.00011,18.5,1
3368,8.50007,5.753,1
3375,8.75008,6.193,1
3377,10.01,0,0.2
3386,9.11003,8.647,1
3406,9.15998,0.2938,1
3408,9.25005,36.92,0.2
3417,9.15026,25.72,1
3424,8.9001,7.019,1
3437,8.45005,3.812,0.2
3439,9.36014,0.1225,1
3440,9.30006,6.155,1
3450,9.74009,0,0.2
3458,9.21017,7.289,1
3459,9.15998,4.662,0.2
3460,7.05008,962.1,1
3469,9.51013,0.2157,0.2
3470,9.63014,0.04064,1
3483,8.75008,7.642,1
3489,9.51013,0.1766,1
3493,9.10014,19.7,1
3505,9.21017,6.585,2.5
3508,9.60011,9.22,0.2
3514,9.00011,9.807,0.2
3530,8.9001,26.71,1
3532,9.21017,8.5,1
3537,7.00009,336.9,1
3546,9.15026,15.32,1
3548,9.26019,14.33,1
3556,8.40013,20.79,1
3557,9.44008,27.18,2.5
3563,8.0001,44.28,0.2
3565,8.0001,30.77,0.2
3568,8.10013,73.89,0.2
3580,9.34017,10.81,1
3584,9.11003,18.8,2.5
3594,9.48013,0.01452,0.2
3598,8.50007,17.9,0.2
3605,9.28001,56.84,2.5
3616,8.9001,11.18,1
3617,9.06006,0.07427,2.5
3618,8.80014,24.81,1
3627,9.26019,0.8004,0.2
3634,9.06006,3.38,2.5
3639,8.65013,18.42,1
3640,8.35016,23.16,0.2
3654,8.85008,4.339,1
3657,8.6001,10.56,0.2
3661,9.11003,2.7,1
3662,8.45005,31.59,1
3671,9.48013,0.7894,0.2
3681,9.30006,2.048,2.5
3707,9.36014,0.105,0.2
3711,9.06006,10.59,1
3713,7.00009,32.96,1
3716,8.25004,96.72,0.2
3719,7.00009,199,1
3731,9.72012,0.07878,1
3732,8.70012,15.72,1
3741,9.32006,8.977,1
3757,9.23005,22.13,1
3779,8.65013,7.619,0.2
3784,9.06006,33.58,2.5
3794,9.26019,0.2691,0.2
3803,8.55009,6.807,1
3825,9.10014,14.88,1
3827,9.38015,7.255,2.5
3834,9.5501,3.572,0.2
3838,8.65013,6.519,1
3845,9.70013,1.129,0.2
3851,9.15026,22.99,0.2
3864,9.21017,11.48,2.5
3869,9.26019,1.021,0.2
3870,9.25005,7.251,1
3871,8.85008,0.9639,1
3873,9.41005,0.04747,1
3874,9.15998,0.01274,2.5
3896,9.05011,10.76,1
3908,8.65013,23.74,1
3918,9.15026,25.67,0.2
3919,9.28001,12.16,2.5
3920,9.41005,12.69,1
3927,9.06006,0.4778,1
3928,8.70012,6.575,1
3933,9.83014,0.000588,1
3945,8.10013,217.3,0.2
3946,9.41005,4.604,0.2
3955,9.54008,0.6804,0.2
3971,9.15998,2.223,1
3982,9.00011,24.45,1
3993,8.50007,10.58,0.02
4007,9.25005,7.814,1
4015,9.30006,12.24,1
4017,8.85008,1.281,0.2
4021,9.00011,31.57,1
4025,8.70012,10.41,1
4027,9.26019,1.157,0.2
4034,9.00011,1.587,1
4038,9.70013,0.2937,0.2
4040,8.80014,6.216,1
4049,8.50007,109.3,1
4051,9.15998,11.2,2.5
4059,9.15998,0.9789,2.5
4064,8.85008,7.441,1
4072,8.9001,42.38,0.2
4073,9.57008,0.000261,0.2
4081,8.50007,7.872,0.2
4092,9.72012,5.491,2.5
4093,9.44008,0.07772,1
4103,8.6001,18.28,1
4106,8.40013,9.691,0.02
4116,9.25005,7.316,1
4117,9.15998,65.75,2.5
4119,9.00011,16.51,1
4124,8.6001,73.41,1
4138,9.48013,9.802,2.5
4139,8.6001,9.275,0.2
4140,9.26019,5.207,1
4150,8.9001,8.661,0.2
4151,9.00011,9.405,1
4154,10.01,0,0.2
4159,8.50007,1.889,0.2
4172,9.6801,0.07147,1
4182,8.0001,98.05,1
4191,9.30006,41.87,1
4192,9.63014,4.2e-05,0.2
4198,8.9001,18.82,1
4210,8.9001,7.81,0.02
4213,7.60009,173.7,0.2
4218,9.41005,4.436,0.2
4232,9.21017,1.755,2.5
4235,8.9001,9.025,1
4236,8.80014,48.56,0.2
4248,8.70012,4.81,1
4249,8.80014,15.46,1
4251,9.40014,7.736,1
4266,8.6001,5.675,0.02
4272,8.50007,8.376,0.02
4277,7.15023,975.1,0.2
4280,9.72012,0.09941,1
4301,8.70012,6.084,1
4310,8.80014,5.392,0.2
4318,9.20015,23.26,1
4320,9.90322,1.685,2.5
4323,8.50007,15.49,1
4325,8.9001,17.39,0.02
4333,9.25005,19.95,0.2
4364,8.40013,25.05,1
4365,8.50007,21.82,1
4373,9.60011,0.7116,0.2
4376,9.06006,0.001707,1
4378,8.0001,68.57,0.2
4384,9.30006,0.1695,0.2
4395,8.9001,8.852,1
4409,9.06006,2.774,2.5
4411,8.9001,14.51,1
4420,9.95015,0,0.2
4421,9.10014,5.963,1
4424,9.00011,23.71,0.2
4431,9.35017,11.4,1
4432,9.15998,1.753,2.5
4437,9.21017,0.7469,0.2
4438,8.40013,16.19,0.02
4448,9.50008,9.806,1
4449,7.00009,57.62,0.02
4458,8.6001,6.337,0.02
4459,9.23005,4.775,1
4461,8.9001,8.891,1
4465,9.70013,0.04019,0.2
4471,9.06006,0.6201,1
4472,8.80014,32.77,1
4473,9.11003,19.47,2.5
4475,8.85008,2.52,1
4477,7.10012,109.8,1
4486,9.93011,0,0.2
4487,8.80014,15.14,0.2
4490,9.26019,7.713,2.5
4494,8.80014,7.458,0.02
4502,9.70013,1.004,0.2
4509,9.05011,5.993,0.2
4510,9.20015,17.23,0.2
4519,7.50006,53.8,0.2
4522,9.15998,15.1,1
4532,9.00011,20.27,1
4534,7.35015,57.73,1
4536,9.65014,1.3,0.2
4540,9.26019,1.247,0.2
4553,7.00009,224.5,0.2
4554,10.0001,0,0.2
4560,8.9001,4.142,1
4565,9.30006,2.392,0.2
4571,8.80014,8.347,0.2
4573,7.00009,50440,0.2
4575,8.95014,3.106,1
4606,8.85008,10.58,1
4607,7.00009,523.1,0.2
4612,8.40013,20.03,1
4618,7.50006,186.5,0.2
4623,9.11003,4.616,1
4630,9.40014,5.046,0.2
4631,8.35016,34.86,0.2
4645,9.36014,0.03752,1
4649,9.15026,22.49,0.2
4650,8.0001,98.89,0.2
4653,9.21017,18.73,0.2
4659,9.23005,11.69,1
4660,9.05011,14.82,0.2
4662,9.32006,0.1307,0.2
4663,8.80014,4.382,1
4668,9.41005,0.01993,1
4681,9.06006,17.65,0.2
4682,9.25005,5.13,0.2
4685,9.65014,1.088,1
4686,8.10013,138.4,0.2
4692,7.00009,14.48,1
4694,9.06006,3.604,1
4698,8.75008,9.883,1
4709,9.23005,7.453,1
4711,9.28001,0.1675,1
4714,8.9001,9.999,0.02
4719,9.15998,3.861,2.5
4730,8.85008,13.68,1
4733,8.70012,6.241,0.02
4734,8.6001,2.682,0.02
4751,9.60011,2.433,0.2
4757,9.11003,11.21,2.5
4760,9.05011,18.67,1
4763,8.30005,40.94,1
4778,8.95014,0.121,0.2
4781,8.9001,38.7,1
4783,8.70012,13.03,1
4792,9.11003,20.07,1
4796,9.06006,3.212,0.2
4801,8.20013,66.73,0.2
4813,9.36014,0.4597,1
4816,9.21017,5.1e-05,0.2
4834,9.30006,12.54,1
4836,9.15998,2.565,2.5
4837,9.15998,9.086,1
4840,8.70012,10.67,0.02
4860,8.20013,114.9,0.2
4861,9.00011,0.06933,0.2
4866,7.35015,648.6,0.2
4874,9.11003,64.67,2.5
4885,7.40011,131,0.2
4890,9.41005,14.96,2.5
4897,9.15998,9.939,2.5
4914,9.45006,4.07,0.2
4947,9.63014,7.7e-05,0.2
4953,7.30004,734.8,0.2
4955,8.85008,16.05,0.2
4965,7.80013,146,0.2
4972,8.0001,186.8,0.2
4976,9.15998,7.411,1
5002,9.23005,3.041,1
5018,9.11003,4.908,2.5
5034,8.0001,236.7,0.2
5051,9.36014,4.991,1
5056,9.00011,14,1
5058,8.20013,6.762,0.2
5060,7.40011,204.2,0.2
5066,7.15023,287.7,0.2
5071,9.21017,1.913,1
5077,9.90011,0,0.2
5087,9.00011,23.51,1
5095,8.85008,6.471,1
5099,7.00009,888.2,0.2
5102,8.50007,4.596,0.2
5106,9.63014,0.2089,0.2
5111,9.15026,4.949,0.2
5114,8.55009,7.067,1
5118,9.15998,4.759,1
5127,9.06006,7.916,1
5133,8.50007,12.51,1
5142,8.80014,10.64,0.2
5145,7.00009,1013,0.2
