id,mag,mass,zbest,zspec,ra,dec
1540,22.8826,10.1803,1.78,-99,150.17973,2.19857
1549,19.3454,11.1755,0.688,-99,150.087886,2.194554
1550,22.0223,9.78484,1.131,-99,150.072354,2.197766
1560,24.0863,9.59904,2.88,-99,150.201036,2.198947
1566,21.739,11.1796,2.239,-99,150.054882,2.198206
1568,22.1405,10.219,0.925,-99,150.093965,2.198034
1572,22.5689,10.0423,1.664,-99,150.071577,2.198358
1580,24.7781,9.59722,4.926,-99,150.103133,2.199191
1581,24.5632,9.79042,1.977,-99,150.14305,2.199209
1585,23.9946,9.36268,2.27,-99,150.126435,2.199038
1586,19.062,11.1965,0.683,-99,150.092378,2.193617
1589,23.7568,9.98212,2.978,-99,150.193845,2.199116
1594,23.27,9.94639,1.43,-99,150.144938,2.198876
1598,20.4403,10.8426,0.85,-99,150.14285,2.197829
1602,22.0883,10.6284,1.596,-99,150.06114,2.19804
1603,23.7614,9.67139,1.728,-99,150.068619,2.199406
1604,24.3252,9.54533,1.97,-99,150.169333,2.199519
1606,23.9636,9.63795,1.75,-99,150.193802,2.199528
1608,23.6042,10.0877,2.253,-99,150.125545,2.199134
1612,22.0809,10.1106,0.928,-99,150.098462,2.198921
1615,23.3551,9.85793,2.19,-99,150.125869,2.19932
1617,21.8388,10.4297,0.957,-99,150.090733,2.199082
1618,21.8926,10.0298,0.92,-99,150.150512,2.199052
1627,20.3117,10.6372,0.86,-99,150.142612,2.196969
1632,21.7166,10.1426,0.86,-99,150.090871,2.199197
1650,23.0866,9.70398,1.72,-99,150.159078,2.199613
1651,23.2659,10.673,2.303,-99,150.193687,2.199668
1652,20.2816,10.9765,1.228,-99,150.053211,2.198105
1658,21.7057,10.2267,0.854,-99,150.148342,2.199119
1667,23.2637,10.5595,2.509,-99,150.193462,2.199375
1673,20.3893,10.5905,0.655,-99,150.147021,2.1989
1674,22.1764,10.0181,1.359,-99,150.062067,2.199368
1676,20.8757,10.6389,0.837,-99,150.141648,2.199131
1677,18.4569,10.29,0.29,-99,150.137235,2.195357
1684,21.59,10.2167,0.91,-99,150.114557,2.199544
1688,21.5298,10.0441,1.21,-99,150.141021,2.198434
1694,22.3748,10.1606,1.26,-99,150.100235,2.199876
1700,24.3363,9.5755,2.6096,-99,150.068578,2.200499
1702,24.5582,9.76428,1.755,-99,150.095681,2.200715
1707,20.7311,10.6042,0.709,-99,150.086157,2.199865
1710,20.017,10.8584,0.86,-99,150.1482,2.197492
1712,22.772,10.7285,1.98,-99,150.142958,2.200135
1714,20.3068,10.6273,0.612,-99,150.092725,2.19896
1715,21.0311,10.4893,1.13,-99,150.159893,2.198805
1717,22.8149,10.9527,2.02,-99,150.143129,2.200423
1719,24.1795,9.96242,1.625,-99,150.095321,2.200817
1721,22.5698,9.98582,0.99,-99,150.093704,2.199757
1726,21.5652,10.2874,0.925,-99,150.114971,2.200202
1727,23.5926,10.3049,2.109,-99,150.131644,2.200555
1743,23.5889,10.3698,1.786,-99,150.095529,2.200762
1752,20.6374,10.4224,0.93,-99,150.135691,2.19941
1753,21.1129,10.7227,1.14,-99,150.120975,2.19996
1754,19.5137,10.9958,0.68,-99,150.103569,2.197928
1755,23.646,10.0715,1.911,-99,150.14758,2.20106
1761,21.1611,10.4094,0.903,-99,150.09094,2.198739
1762,21.8171,10.4066,1.09,-99,150.082551,2.200253
1767,23.3596,9.69188,1.97,-99,150.157761,2.200769
1770,24.7453,9.32129,3.1201,-99,150.086217,2.201388
1778,23.2313,9.924,1.516,-99,150.122856,2.20076
1780,23.1853,10.5549,1.77,-99,150.170462,2.201249
1781,22.7862,9.89177,1.265,-99,150.194824,2.201091
1784,24.9297,9.58074,4.452,-99,150.11093,2.201655
1787,24.6284,9.85845,3.46,-99,150.113936,2.201545
1792,24.4085,9.58552,3.1035,-99,150.199711,2.201718
1797,23.2754,10.0311,1.229,-99,150.195214,2.201476
1806,20.7349,10.6189,0.89,-99,150.092715,2.200087
1811,22.8897,10.1221,1.64,-99,150.15808,2.200974
1821,23.3465,9.86652,1.667,-99,150.146627,2.201226
1825,22.766,10.0608,1.49,-99,150.17048,2.20151
1827,20.5271,10.9179,0.92,-99,150.144039,2.200151
1838,23.6719,9.49751,2.3201,-99,150.18334,2.201892
1845,21.0676,10.1271,0.59,-99,150.101828,2.200938
1855,20.7061,10.4292,0.75,-99,150.06045,2.201493
1858,24.4465,9.72265,2.471,-99,150.090515,2.202401
1862,23.5538,9.75838,6.33,-99,150.197216,2.202468
1865,22.1112,10.0399,0.9,-99,150.144027,2.201824
1890,23.6873,10.4568,1.9291,-99,150.172307,2.202522
1894,19.6227,11.2823,0.932,-99,150.094032,2.198998
1895,22.4438,10.0173,0.93,-99,150.097307,2.201837
1896,22.4868,10.4061,1.47,-99,150.173723,2.202047
1897,19.0368,10.4498,0.4073,-99,150.05566,2.200143
1904,21.8453,10.0347,0.89,-99,150.155072,2.202145
1915,23.6977,10.5843,1.82,-99,150.064903,2.202781
1916,19.3032,10.9278,0.5894,-99,150.145139,2.201293
1920,23.7234,9.96209,1.85,-99,150.189695,2.202805
1921,24.2597,9.51406,2.1654,-99,150.180672,2.202974
1925,23.9723,10.1173,2.372,-99,150.119377,2.202675
1936,19.8268,11.1557,0.904,-99,150.054466,2.199997
1938,22.2763,10.4177,2.281,-99,150.1143,2.202842
1941,23.3003,10.1368,1.33,-99,150.164419,2.202924
1944,24.1215,9.56274,2.56,-99,150.175917,2.203197
1947,24.2989,10.2079,2.6812,-99,150.170063,2.203543
1948,20.2304,10.7346,0.751,-99,150.053768,2.199979
1953,21.5568,10.0729,1.092,-99,150.116051,2.201585
1954,22.7466,9.93279,1.3395,-99,150.064634,2.203047
1960,20.8497,10.5652,1.07,-99,150.057521,2.201797
1962,20.4529,9.74774,0.476,-99,150.094259,2.20061
1966,23.3105,9.78298,1.23,-99,150.14739,2.203212
1970,24.1795,9.92805,2.811,-99,150.067215,2.203459
1977,23.1696,10.5385,2.453,-99,150.10076,2.20278
1981,22.9924,11.1912,3.008,-99,150.053876,2.203248
1982,24.0287,9.6188,2.924,-99,150.200771,2.203457
2005,22.4884,10.1189,1.21,-99,150.060122,2.202901
